A058470,리노공업,KOSDAQ,"36,500",250,0.68%,"36,800","36,900","36,350","42,564","1,558,860,650",N
A475150,SK이터닉스,KOSPI,"16,380",30,0.18%,"16,490","16,750","16,250","94,203","1,555,574,265",N
A097950,CJ제일제당,KOSPI,"244,500","1,500",0.62%,"243,500","248,000","243,000","6,332","1,549,647,250",N
A094480,갤럭시아머니트리,KOSDAQ,"8,290",120,1.47%,"8,320","8,340","8,170","187,171","1,547,711,680",N
A053030,바이넥스,KOSDAQ,"15,000",730,4.64%,"15,410","15,410","14,710","102,692","1,545,601,310",N
A178920,PI첨단소재,KOSPI,"17,050","1,040",6.50%,"16,100","18,000","16,070","89,606","1,536,553,565",N
A272450,진에어,KOSPI,"9,550",590,6.58%,"9,300","9,630","9,170","161,615","1,524,859,600",N
A388720,유일로보틱스,KOSDAQ,"72,200","2,100",3%,"71,600","75,400","70,100","21,414","1,524,826,600",N
A009420,한올바이오파마,KOSPI,"26,750","1,450",5.14%,"27,750","27,750","26,450","55,940","1,513,996,850",N
A080220,제주반도체,KOSDAQ,"13,150",210,1.62%,"12,940","13,180","12,910","112,497","1,470,029,480",N
A388050,지투파워,KOSDAQ,"7,270",330,4.34%,"7,240","7,550","6,710","208,110","1,451,193,070",N
A012510,더존비즈온,KOSPI,"62,300",400,0.65%,"61,900","63,400","61,900","23,029","1,440,279,050",N
A010130,고려아연,KOSPI,"779,000","4,000",0.51%,"793,000","797,000","773,000","1,831","1,437,556,000",N
A003220,대원제약,KOSPI,"13,740",130,0.94%,"13,870","14,460","13,710","101,494","1,436,441,190",N
A003350,한국화장품제조,KOSPI,"51,600","3,800",6.86%,"55,300","55,400","51,400","26,979","1,422,938,900",N
A335890,비올,KOSDAQ,"8,930",210,2.41%,"8,660","8,940","8,590","161,098","1,420,314,805",N
A079900,전진건설로봇,KOSPI,"47,200",800,1.72%,"46,000","47,500","44,650","30,374","1,394,996,325",N
A214150,클래시스,KOSDAQ,"64,700",0,0%,"64,700","65,700","64,100","21,355","1,389,921,000",N
A033500,동성화인텍,KOSDAQ,"25,050",400,1.57%,"25,300","25,550","25,050","54,132","1,369,858,500",N
A010950,S-Oil,KOSPI,"52,600",500,0.96%,"52,600","52,800","52,100","25,404","1,333,858,700",N
A086900,메디톡스,KOSDAQ,"170,500","5,000",2.85%,"174,000","176,400","168,500","7,769","1,333,814,700",N
A192080,더블유게임즈,KOSPI,"55,800",700,1.24%,"56,200","56,900","54,800","23,584","1,323,527,300",N
A084110,휴온스글로벌,KOSDAQ,"49,450","2,250",4.35%,"51,700","53,100","48,800","26,141","1,312,969,450",N
A024110,기업은행,KOSPI,"15,300",80,0.53%,"15,220","15,440","15,180","85,270","1,304,404,170",N
